"filename", "language", "XML", "Lua", "Batch", "comment", "blank", "total"
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\magazine_autogun_headhunter.lua", "Lua", 0, 23, 0, 8, 5, 36
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\magazine_autogun_infantry.lua", "Lua", 0, 23, 0, 8, 5, 36
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\magazine_autopistol.lua", "Lua", 0, 13, 0, 8, 5, 26
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\magazine_autopistol_double.lua", "Lua", 0, 13, 0, 8, 5, 26
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\magazine_bolter.lua", "Lua", 0, 20, 0, 8, 5, 33
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\magazine_bolter_double.lua", "Lua", 0, 20, 0, 8, 5, 33
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\magazine_laser_autogun.lua", "Lua", 0, 26, 0, 8, 5, 39
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\magazine_lasgun.lua", "Lua", 0, 12, 0, 11, 7, 30
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\magazine_lasgun_helbore.lua", "Lua", 0, 13, 0, 8, 5, 26
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\magazine_lasgun_infantry.lua", "Lua", 0, 18, 0, 8, 5, 31
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\magazine_lasgun_recon.lua", "Lua", 0, 18, 0, 8, 5, 31
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\magazine_laspistol.lua", "Lua", 0, 40, 0, 8, 5, 53
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\magazine_plasma_bolter.lua", "Lua", 0, 26, 0, 8, 5, 39
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\muzzle.lua", "Lua", 0, 93, 0, 14, 5, 112
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\muzzle_autogun.lua", "Lua", 0, 12, 0, 11, 7, 30
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\muzzle_autogun_braced.lua", "Lua", 0, 38, 0, 8, 5, 51
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\muzzle_autogun_headhunter.lua", "Lua", 0, 33, 0, 8, 5, 46
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\muzzle_autogun_infantry.lua", "Lua", 0, 38, 0, 8, 5, 51
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\muzzle_lasgun.lua", "Lua", 0, 12, 0, 11, 7, 30
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\muzzle_lasgun_helbore.lua", "Lua", 0, 33, 0, 8, 5, 46
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\muzzle_lasgun_infantry.lua", "Lua", 0, 33, 0, 8, 5, 46
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\muzzle_lasgun_recon.lua", "Lua", 0, 33, 0, 8, 5, 46
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\muzzle_laspistol.lua", "Lua", 0, 38, 0, 8, 5, 51
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\ogryn_flashlight.lua", "Lua", 0, 53, 0, 8, 7, 68
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\pommel_2h_force_sword.lua", "Lua", 0, 40, 0, 8, 5, 53
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\pommel_2h_power_sword.lua", "Lua", 0, 30, 0, 8, 5, 43
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\pommel_force_sword.lua", "Lua", 0, 38, 0, 8, 5, 51
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\pommel_power_sword.lua", "Lua", 0, 38, 0, 8, 5, 51
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\rail.lua", "Lua", 0, 26, 0, 8, 5, 39
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\receiver_autogun.lua", "Lua", 0, 12, 0, 11, 7, 30
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\receiver_autogun_braced.lua", "Lua", 0, 28, 0, 8, 5, 41
